id,question,gpt55_product,current_product,same_product,retrieval_token_jaccard,question_token_coverage_gpt55,question_token_coverage_current,gpt55_retrieval_chars,current_retrieval_chars,gpt55_image_count,current_image_count,image_overlap_count,gpt55_answer_chars,current_answer_chars,answer_char_delta_current_minus_gpt55,gpt55_not_provided,current_not_provided,gpt55_sections,current_sections,gpt55_top_text,current_top_text
320,What are the first three steps in assembly process of the grill according to the manual?,Grill,Grill,True,0.337,0.333,0.333,1203,1884,8,5,1,164,90,-74,True,True,"WARNING Read and follow all Safety, Assembly and Use and Care Instructions in this Guide b | 4This step requires twopeople to lift and position grill head onto cart. Carefully lower t | 5 Inser | 11 Under sideburner shelf, attach sideburner ignitor wire to electrode, shown A. Place sid | 12 Connect Adapter wire harness and Light wire harness. <PIC> | 13 Inside of cart, i | 17 Install heat diffusers by sliding one end of each heat diffuser into slots at front of | Note: Some parts omitted for <PIC> | 18 Place cooking grates onto the firebox as shown. Insert the two wire ends at rear of war","WARNING Read and follow all Safety, Assembly and Use and Care Instructions in this Guide b | 4This step requires twopeople to lift and position grill head onto cart. Carefully lower t | 19 LP CYLINDER IS SOLD SEPARATELY. Fill and leak check the cylinder before attaching to gr","# WARNING Read and follow all Safety, Assembly and Use and Care Instructions in this Guide before assembling and cooking with this grill. Failure to follow all instructions in this Use and Care Guide may lead to fire or explosion,which could result in property damage, personal injury or death. Safet # 4This step requires twopeople to lift and position grill head onto cart. Carefully lower the grill head onto the cart, aligning slots at bottomof grill head with posts on cart side panels.Make sure the regulator hose is hanging inside the cart. Grill head must face open sideofcart. <PIC> # 5 Inser # 11 Under sideburner shelf, attach sideburner ignitor wire to electrode, shown A. Place sideburne","Use and Care Guide This Grill is for Outdoor Use Only <PIC> # WARNING Read and follow all Safety, Assembly and Use and Care Instructions in this Guide before assembling and cooking with this grill. Failure to follow all instructions in this Use and Care Guide may lead to fire or explosion,which could result in property damage, personal injury or death. Safety Parts Use and Care Assembly Assembly Questions? # 4This step requires twopeople to lift and position grill head onto cart. Carefully lower the grill head onto the cart, aligning slots at bottomof grill head with posts on cart side panels.Make sure the regulator hose is hanging inside the cart. Grill head must face open sideofcart. <PIC>"
321,Can you share me some safety tips using the grill?,Grill,Grill,True,0.223,0.400,0.600,962,1722,2,1,0,726,1074,348,False,False,"For Safe Use Of Your Grill And ToAvoid Serious In jury: · Do not let children operate or p | WARNING Read and follow all Safety, Assembly and Use and Care Instructions in this Guide b | Installation Safety Precautions ·Use grill, as purchased, only with LP (propane) gas and t","For Safe Use Of Your Grill And ToAvoid Serious In jury: · Do not let children operate or p | Safety Tips Before opening LP tankvalve,check the coupling nut for tightness. When grill i","# For Safe Use Of Your Grill And ToAvoid Serious In jury: · Do not let children operate or play near grill · Keep grill area clear and free from materials that burn. ·Do not block holes in bottom or back of grill ·Check burner flames regularly ·Use grill only in well-ventilated space. NEVER use in e Use and Care Guide This Grill is for Outdoor Use Only <PIC> # WARNING Read and follow all Safety, Assembly and Use and Care Instructions in this Guide before assembling and cooking with this grill. Failure to follow all instructions in this Use and Care Guide may lead to fire or explosion,which could result in property damage, personal injury or death. Safet # Installation Safety Precautions ·Use","# For Safe Use Of Your Grill And ToAvoid Serious In jury: · Do not let children operate or play near grill · Keep grill area clear and free from materials that burn. ·Do not block holes in bottom or back of grill ·Check burner flames regularly ·Use grill only in well-ventilated space. NEVER use in enclosed space such as carport,garage,porch,covered patio,or under an overhead structure of any kind · Do not use charcoal or ceramic briquets in a gas grill! (Unless briquets are supplied with your grill) ·Usegrill atleast3ft. # Safety Tips Before opening LP tankvalve,check the coupling nut for tightness. When grill is not inuse, turn off all control knobs and LP tank valve. Never move grill while"
322,What are identification numbers of my jetski? I don't understand that.,2005 WaveRunner,2005 WaveRunner,True,0.571,0.600,0.600,1203,838,7,2,2,432,230,-202,False,False,"Identification numbers Record the Primary Identification (PRI-ID) number, Hull Identificat | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo | United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’ | Hull Identification Number (HIN) <PIC> The HIN is stamped on a plate $\textcircled{1}$ att | Engine serial number <PIC> The engine serial number is stamped on a label $\textcircled{1} | E","Identification numbers Record the Primary Identification (PRI-ID) number, Hull Identificat | United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’ | Primary Identification (PRI-ID) number <PIC> The PRI-ID number is stamped on a label $\tex","# Identification numbers Record the Primary Identification (PRI-ID) number, Hull Identification Number (HIN) and engine serial number in the spaces provided for assistance when ordering spare parts from a jetski dealer. Also record and keep these ID numbers in a separate place in case your watercraf # To the owner/operator This Owner’s/Operator’s Manual contains information you will need for proper operation, maintenance, and care. A thorough understanding of these simple instructions will help you to obtain maximum enjoyment from your new jetski. If you have any questions about the operation o # United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’s lead","# Identification numbers Record the Primary Identification (PRI-ID) number, Hull Identification Number (HIN) and engine serial number in the spaces provided for assistance when ordering spare parts from a jetski dealer. Also record and keep these ID numbers in a separate place in case your watercraft is stolen. EJU01831 # United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’s leading manufacturer to build awareness and support for boating education. In 1997, jetski launched its GET W.E.T. (Watercraft Education and Training) initiative and has since reached out to over one million Americans promoting the benefits of boating education. # Primary Identificat"
324,I've heard that my jetski has cruising limitations. Please introduce them.,2005 WaveRunner,2005 WaveRunner,True,0.521,0.571,0.714,1203,1769,4,1,1,788,404,-384,False,False,"Cruising limitations <PIC> Scan constantly for people, objects, and other watercraft. Be a | Limitations on who may operate the watercraft jetski recommends a minimum operator age of | Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the wa | United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’","Cruising limitations <PIC> Scan constantly for people, objects, and other watercraft. Be a | United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’ | Limitations on who may operate the watercraft jetski recommends a minimum operator age of","# Cruising limitations <PIC> Scan constantly for people, objects, and other watercraft. Be alert for conditions that limit your visibility or block your vision of others. Operate defensively at safe speeds and keep a safe distance away from people, objects, and other watercraft. Do not follow direct # Limitations on who may operate the watercraft jetski recommends a minimum operator age of 16 years old. Adults must supervise use by minors. Know the operator age and training requirements for your state. A boating safety course is recommended and may be required in your state. You can find local # Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the watercraf","# Cruising limitations <PIC> Scan constantly for people, objects, and other watercraft. Be alert for conditions that limit your visibility or block your vision of others. Operate defensively at safe speeds and keep a safe distance away from people, objects, and other watercraft. Do not follow directly behind watercraft or other boats. Do not go near others to spray or splash them with water. # United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’s leading manufacturer to build awareness and support for boating education. In 1997, jetski launched its GET W.E.T. (Watercraft Education and Training) initiative and has since reached out to over one million Ame"
325,What are the operation requirements if I want to use my jetski?,2005 WaveRunner,2005 WaveRunner,True,0.396,0.750,0.750,1203,2072,1,0,0,691,631,-60,False,False,Limitations on who may operate the watercraft jetski recommends a minimum operator age of | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo | Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the wa | Safety information The safe use and operation of this watercraft is dependent upon the use,Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the wa | Limitations on who may operate the watercraft jetski recommends a minimum operator age of | 2005 WaveRunner | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo | EJU01179 | Operation requirements All riders must wear a Coast Guard approved personal flotation devi,"# Limitations on who may operate the watercraft jetski recommends a minimum operator age of 16 years old. Adults must supervise use by minors. Know the operator age and training requirements for your state. A boating safety course is recommended and may be required in your state. You can find local # To the owner/operator This Owner’s/Operator’s Manual contains information you will need for proper operation, maintenance, and care. A thorough understanding of these simple instructions will help you to obtain maximum enjoyment from your new jetski. If you have any questions about the operation o # Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the watercraf","# Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the watercraft must be in accordance with the rules and regulations governing the waterway on which it is used. Just as there are rules that apply when you are driving on streets and highways, there are waterway rules that apply when you are operating your watercraft. # Limitations on who may operate the watercraft jetski recommends a minimum operator age of 16 years old. Adults must supervise use by minors. Know the operator age and training requirements for your state. A boating safety course is recommended and may be required in your state. You can find local rules by contacting the United States Coast G"
326,What kinds of watercraft characteristics does my jetski have?,2005 WaveRunner,2005 WaveRunner,True,0.597,0.800,0.800,1203,2070,2,1,1,603,354,-249,False,False,To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo | United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’ | Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle complet | Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the wa,Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle complet | United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’ | Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the wa | 2005 WaveRunner | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo,"# To the owner/operator This Owner’s/Operator’s Manual contains information you will need for proper operation, maintenance, and care. A thorough understanding of these simple instructions will help you to obtain maximum enjoyment from your new jetski. If you have any questions about the operation o # United States Coast Guard Consumer Affairs Staff (G-BC) jetski is the watercraft industry’s leading manufacturer to build awareness and support for boating education. In 1997, jetski launched its GET W.E.T. (Watercraft Education and Training) initiative and has since reached out to over one millio # Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle completely pr","# Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle completely produces only minimum thrust. If you are traveling at speeds above trolling, you will have rapidly decreasing ability to steer without throttle. You may still have some turning ability immediately after releasing the throttle, but once the engine slows down, the watercraft will no longer respond to handlebar input until you open the throttle again or you reach a trolling speed. Items such as long hair, loose clothing, or PFD straps can become entangled in moving parts resulting in severe injury or drowning. Never insert any object into the jet thrust nozzle $\circledcirc$ while the engine is runni"
327,"When encountering vessels driving my jetski, what rules should I obey?",2005 WaveRunner,2005 WaveRunner,True,0.242,0.500,0.833,1203,1378,4,1,0,639,443,-196,False,False,"Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the wa | Overtaking If you are passing another vessel, you are the give-way vessel. This means that | WARNING @ Scan constantly for people, objects, G and other watercraft. Be alert for condit | Cruising limitations <PIC> Scan constantly for people, objects, and other watercraft. Be a",Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the wa | Rules when encountering | vessels There are three main situations that you may encounter with other vessels which co | Other special situations There are three other rules you should be aware of when riding yo,"# Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the watercraft must be in accordance with the rules and regulations governing the waterway on which it is used. Just as there are rules that apply when you are driving on streets and highways, there are waterway ru # Overtaking If you are passing another vessel, you are the give-way vessel. This means that the other vessel is expected to maintain its course and speed. You must stay out of its way until you are clear of it. Likewise, if another vessel is passing you, you should maintain your speed and direction # WARNING @ Scan constantly for people, objects, G and other watercraft. Be alert for conditions t","# Rules of the Road jetski watercraft is legally considered a powerboat. Operation of the watercraft must be in accordance with the rules and regulations governing the waterway on which it is used. Just as there are rules that apply when you are driving on streets and highways, there are waterway rules that apply when you are operating your watercraft. # Rules when encountering # vessels There are three main situations that you may encounter with other vessels which could lead to a collision unless the Steering Rules are followed: Meeting: you are approaching another vessel head-on Crossing: you are traveling across another vessel’s path Overtaking: you are passing or being passed by another"
328,"I'd like to remove and install the seat of my jetski, what steps should I follow?",2005 WaveRunner,2005 WaveRunner,True,0.285,0.667,0.667,1203,1560,7,4,2,289,236,-53,False,False,"Operation of controls and other functions | EJU01010 Seat There is a seat latch $\textcircled{1}$ at the rear of the seat to remove th | To remove the seat: Pull the seat latch up, and then pull the seat off. <PIC> | To install the seat: Insert the projection on the front of the seat | Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $ | WARNING Before attempting to remove weeds or debris from the jet intake or impeller areas, | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo","To remove the seat: Pull the seat latch up, and then pull the seat off. <PIC> | To install the seat: Insert the projection on the front of the seat into the stay on the d","# Operation of controls and other functions # EJU01010 Seat There is a seat latch $\textcircled{1}$ at the rear of the seat to remove the seat. <PIC> # To remove the seat: Pull the seat latch up, and then pull the seat off. <PIC> # To install the seat: Insert the projection on the front of the seat # Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $\circledcirc$ Fuel tank filler cap $\textcircled{3}$ Rope hole $\textcircled{4}$ Footwell Use to place feet for balance. $\circledast$ Intake grate Prevents debris from getting into the jet pump. $\circledcir # WARNING Before attempting to remove weeds or debris from the jet intake or impeller areas, shut t","# To remove the seat: Pull the seat latch up, and then pull the seat off. <PIC> # To install the seat: Insert the projection on the front of the seat into the stay on the deck, and then push the rear of the seat down to lock it in place securely. <PIC> Do not apply throttle until the passenger is seated with his or her feet on the floor of the footwell and is holding on to the operator. 1. Climb on board as noted in the previous section, and sit astride the seat. Attach the engine shut-off cord to your wrist, and then install the clip to the engine shut-off switch. 2. Have the passenger move to the rear of the watercraft. 3. Have the passenger get on board and sit on the seat. <PIC> Practice"
329,"In daily usage, how to open and close the hood of the jetski?",2005 WaveRunner,2005 WaveRunner,True,0.248,0.500,0.667,1123,1265,11,4,4,208,213,5,False,False,"NOTE: Make sure that the seat is properly secured before operating the watercraft. EJU0101 | Hood To open the hood, push the latch $\textcircled{1}$ down, and then lift the hood up. < | Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $ | Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle complet | Front storage compartment The front storage compartment $\circledcirc$ is located at the b","NOTE: Make sure that the seat is properly secured before operating the watercraft. EJU0101 | Hood To open the hood, push the latch $\textcircled{1}$ down, and then lift the hood up. < | 2005 WaveRunner | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo","# NOTE: Make sure that the seat is properly secured before operating the watercraft. EJU01011 # Hood To open the hood, push the latch $\textcircled{1}$ down, and then lift the hood up. <PIC> To close the hood, push the hood down to lock it in place. <PIC> NOTE: Make sure that the hood is properly se # Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $\circledcirc$ Fuel tank filler cap $\textcircled{3}$ Rope hole $\textcircled{4}$ Footwell Use to place feet for balance. $\circledast$ Intake grate Prevents debris from getting into the jet pump. $\circledcir # Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle completely pr","# NOTE: Make sure that the seat is properly secured before operating the watercraft. EJU01011 # Hood To open the hood, push the latch $\textcircled{1}$ down, and then lift the hood up. <PIC> To close the hood, push the hood down to lock it in place. <PIC> NOTE: Make sure that the hood is properly secured before operating the watercraft. EJU01012 $\circledcirc$ Bow eye Use to attach rope for transporting, mooring or towing the watercraft in an emergency. $\textcircled{3}$ Front storage compartment $\textcircled{4}$ Hood $\circledast$ Jet intake $\circledcirc$ Handgrip $\circleddash$ Seat $\circledast$ Glove compartment $\circledcirc$ jetski Adjustable Sponson (YAS) <PIC> <PIC> # 2005 WaveRunn"
330,I've noticed that there are two different kinds of filler caps on the jetski. How to remove them?,2005 WaveRunner,2005 WaveRunner,True,0.163,0.200,0.300,1203,1331,7,4,4,212,219,7,False,False,"Fuel tank filler cap To remove the fuel tank filler cap $\textcircled{1}$ , turn it counte | Oil tank filler cap To remove the oil tank filler cap $\textcircled{1}$ , turn i | WARNING Before attempting to remove weeds or debris from the jet intake or impeller areas, | Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $ | $\circledast$ Throttle lever Use to accelerate and decelerate. $\circledcirc$ Choke lever","Oil tank filler cap To remove the oil tank filler cap $\textcircled{1}$ , turn it counterc | Fuel tank filler cap To remove the fuel tank filler cap $\textcircled{1}$ , turn it counte","# Fuel tank filler cap To remove the fuel tank filler cap $\textcircled{1}$ , turn it counterclockwise. NOTE: Make sure that the fuel tank filler cap is properly secured before operating the watercraft. <PIC> EJU10131 # Oil tank filler cap To remove the oil tank filler cap $\textcircled{1}$ , turn i # WARNING Before attempting to remove weeds or debris from the jet intake or impeller areas, shut the engine off and remove the clip from the engine shut-off switch. Severe injury or death could result from contact with the rotating parts of the jet pump. 1. Turn the watercraft on its side as shown. # Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $\circl","# Oil tank filler cap To remove the oil tank filler cap $\textcircled{1}$ , turn it counterclockwise. Make sure that the oil tank filler cap is properly secured before operating the watercraft. <PIC> EJU01014 # Fuel tank filler cap To remove the fuel tank filler cap $\textcircled{1}$ , turn it counterclockwise. NOTE: Make sure that the fuel tank filler cap is properly secured before operating the watercraft. <PIC> EJU10131 A thorough understanding of these simple instructions will help you to obtain maximum enjoyment from your new jetski. If you have any questions about the operation or maintenance of your watercraft, please consult a jetski dealer. Because jetski has a policy of continuing "
331,"If I need to manipulate the two kinds of engine switches on the jetski, what should I do?",2005 WaveRunner,2005 WaveRunner,True,0.128,0.143,0.429,1203,1987,4,3,2,329,292,-37,False,False,"$\circledast$ Throttle lever Use to accelerate and decelerate. $\circledcirc$ Choke lever | Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle complet | WARNING Before attempting to remove weeds or debris from the jet intake or impeller areas, | Engine shut-off switch Insert the clip $\textcircled{1}$ , on the end of the engine shut-o",2005 WaveRunner | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo,"# $\circledast$ Throttle lever Use to accelerate and decelerate. $\circledcirc$ Choke lever $\circledcirc$ Oil tank filler cap $\circledcirc$ Fuel cock knob $\circledcirc$ Stern drain plugs Use to drain water in the bilge when the watercraft is on dry land. $\textcircled{3}$ Jet thrust nozzle Change # Watercraft characteristics Jet thrust turns the watercraft. Releasing the throttle completely produces only minimum thrust. If you are traveling at speeds above trolling, you will have rapidly decreasing ability to steer without throttle. You may still have some turning ability immediately after r # WARNING Before attempting to remove weeds or debris from the jet intake or impeller areas, shut ","Practice turning in an open area without obstructions until you have a good feel for this maneuver. Stop the engine and remove the clip $\textcircled{3}$ from the engine shut-off switch $\textcircled{4}$ before removing any debris or weeds, which may have collected around the jet intake. <PIC> This Remove to stop the engine or prevent accidental starting of the engine or unauthorized use of the watercraft. $\textcircled{4}$ Quick Shift Trim System (QSTS) selector Use to select the trim angle of the watercraft. $\circledast$ Engine shut-off switch Remove the clip to stop the engine and disable it from starting. $\circledcirc$ Start switch Push to start the engine. $\circleddash$ Multifunction"
332,"There are two kinds of levers on the jetski, how to manipulate them?",2005 WaveRunner,2005 WaveRunner,True,0.085,0.000,0.143,1203,1250,8,3,2,165,148,-17,False,False,Steering system Your watercraft can be steered by turning the handlebars $\textcircled{1}$ | $\circledast$ Throttle lever Use to accelerate and decelerate. $\circledcirc$ Choke lever | Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $ | Turning the watercraft Steering control depends on the combination of handlebar position a,2005 WaveRunner | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo | Throttle lever Squeeze the throttle lever $\textcircled{1}$ to increase engine speed. Rele,"# Steering system Your watercraft can be steered by turning the handlebars $\textcircled{1}$ the same direction you wish to travel. When the handlebars are turned, the angle of the jet thrust nozzle $\circledcirc$ is changed, and the direction of the watercraft is changed accordingly. Since the stre # $\circledast$ Throttle lever Use to accelerate and decelerate. $\circledcirc$ Choke lever $\circledcirc$ Oil tank filler cap $\circledcirc$ Fuel cock knob $\circledcirc$ Stern drain plugs Use to drain water in the bilge when the watercraft is on dry land. $\textcircled{3}$ Jet thrust nozzle Change # Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $\circl","# 2005 WaveRunner # To the owner/operator This Owner’s/Operator’s Manual contains information you will need for proper operation, maintenance, and care. A thorough understanding of these simple instructions will help you to obtain maximum enjoyment from your new jetski. If you have any questions about the operation or maintenance of your watercraft, please consult a jetski dealer. Because jetski has a policy of continuing product improvement, this product may not be exactly as described in this Owner’s/ Operator’s Manual. Specifications are subject to change without notice. This manual should be considered a permanent part of this watercraft and should remain with it even if the watercraft i"
333,What information should I obtain about Quick Shift Trim System (QSTS) selector when using my jetski,2005 WaveRunner,2005 WaveRunner,True,0.372,0.556,1.000,1148,1802,3,1,1,575,343,-232,False,False,"Quick Shift Trim System (QSTS) selector The QSTS selector $\textcircled{1}$ is located at | To change the trim angle: 1. Reduce engine speed to 3,000 r/min or less. 2. Squeeze the sh | CAUTION: Do not turn the QSTS selector while operating the watercraft at full throttle, ot | $\circledast$ Throttle lever Use to accelerate and decelerate. $\circledcirc$ Choke lever","Quick Shift Trim System (QSTS) selector The QSTS selector $\textcircled{1}$ is located at | CAUTION: Do not turn the QSTS selector while operating the watercraft at full throttle, ot | 2005 WaveRunner | To the owner/operator This Owner’s/Operator’s Manual contains information you will need fo","# Quick Shift Trim System (QSTS) selector The QSTS selector $\textcircled{1}$ is located at the left handlebar grip and is used to adjust the trim angle of the watercraft. Operating the QSTS selector changes the angle of the jet thrust nozzle vertically. This changes the trim angle of the watercraft # To change the trim angle: 1. Reduce engine speed to 3,000 r/min or less. 2. Squeeze the shift lock lever $\circledcirc$ , and then turn the QSTS selector to the desired position. 3. Release the shift lock lever to lock the QSTS selector. <PIC> # CAUTION: Do not turn the QSTS selector while operating the watercraft at full throttle, otherwise damage could occur to the QSTS. The neutral “N” posit",# Quick Shift Trim System (QSTS) selector The QSTS selector $\textcircled{1}$ is located at the left handlebar grip and is used to adjust the trim angle of the watercraft. Operating the QSTS selector changes the angle of the jet thrust nozzle vertically. This changes the trim angle of the watercraft. $\circledcirc$ Engine stop switch Push to stop the engine normally. $\textcircled{3}$ Clip Insert into the engine shut-off switch to enable starting of the engine. Remove to stop the engine or prevent accidental starting of the engine or unauthorized use of the watercraft. $\textcircled{4}$ Quick Shift Trim System (QSTS) selector Use to select the trim angle of the watercraft. $\circledast$ Engi
334,What do fuel meter and hour meter on my jetski do?,2005 WaveRunner,2005 WaveRunner,True,0.648,0.750,0.750,1196,1051,6,4,4,438,321,-117,False,False,Hour meter The hour meter is provided to make it easy to follow the maintenance schedule. | Fuel meter The fuel meter is provided for convenient fuel level checking while riding. The | Multifunction information center This meter contains following functions for the help and | Tachometer The engine speed (r/min) is displayed by segments. Each segment indicates a $25 | Speedometer The meter shows the watercraft speed against water. <PIC> NOTE: If the speedom | Rese,Hour meter The hour meter is provided to make it easy to follow the maintenance schedule. | Reset button Pushing the reset button stops sounding the buzzer. <PIC> EJU01031 | Fuel meter The fuel meter is provided for convenient fuel level checking while riding. The,# Hour meter The hour meter is provided to make it easy to follow the maintenance schedule. The meter shows the hours of engine operation that have elapsed since the watercraft was new. <PIC> NOTE: @ The elapsed time will be kept even if the battery terminals have been disconnected. If the hour mete # Fuel meter The fuel meter is provided for convenient fuel level checking while riding. The fuel meter has eight segments which show the amount of fuel remaining in the fuel tank. The indication of the segments differs on your operating condition. Use the meter as a reference. <PIC> EJU01032 # Multifunction information center This meter contains following functions for the help and convenience o,"# Hour meter The hour meter is provided to make it easy to follow the maintenance schedule. The meter shows the hours of engine operation that have elapsed since the watercraft was new. <PIC> NOTE: @ The elapsed time will be kept even if the battery terminals have been disconnected. If the hour meter malfunctions, $""\_-\_""$ display and the warning light will blink. EJU01033 # Reset button Pushing the reset button stops sounding the buzzer. <PIC> EJU01031 # Fuel meter The fuel meter is provided for convenient fuel level checking while riding. The fuel meter has eight segments which show the amount of fuel remaining in the fuel tank. The indication of the segments differs on your operating con"
344,Inspecting fuel filter and fuel tank of my jetski is important. How to do that?,2005 WaveRunner,2005 WaveRunner,True,0.488,0.500,0.500,1203,1013,8,2,2,634,462,-172,False,False,"WARNING Do not try to replace the fuel filter yourself. An incorrectly installed filter ca | Fuel tank Check the fuel tank $\textcircled{1}$ for leakage or water in the tank. | Fuel tank filler cap To remove the fuel tank filler cap $\textcircled{1}$ , turn it counte | Oil tank filler cap To remove the oil tank filler cap $\textcircled{1}$ , turn i | Fuel filter This watercraft is equipped with a onepiece, disposable fuel filter $\textcirc | Location of main components <PIC> $\textcircled{1}$ Handlebars Use to control direction. $","Fuel tank Check the fuel tank $\textcircled{1}$ for leakage or water in the tank. If water | Fuel filter This watercraft is equipped with a onepiece, disposable fuel filter $\textcirc | WARNING Do not try to replace the fuel filter yourself. An incorrectly installed filter ca","# WARNING Do not try to replace the fuel filter yourself. An incorrectly installed filter can leak gasoline, which could lead to fire or explosion. If necessary, have a Yamaha dealer replace the fuel filter. EJU01841 # Fuel tank Check the fuel tank $\textcircled{1}$ for leakage or water in the tank. # Fuel tank filler cap To remove the fuel tank filler cap $\textcircled{1}$ , turn it counterclockwise. NOTE: Make sure that the fuel tank filler cap is properly secured before operating the watercraft. <PIC> EJU10131 # Oil tank filler cap To remove the oil tank filler cap $\textcircled{1}$ , turn i # Fuel filter This watercraft is equipped with a onepiece, disposable fuel filter $\textcircled{1}","# Fuel tank Check the fuel tank $\textcircled{1}$ for leakage or water in the tank. If water is found in the fuel system or if the fuel tank needs to be cleaned, have a Yamaha dealer service the watercraft. <PIC> EJU11131 # Fuel filter This watercraft is equipped with a onepiece, disposable fuel filter $\textcircled{1}$ . The fuel filter should be replaced after the initial 10 hours or first month of operation and every 200 hours or 24 months thereafter, or if water is found in the filter. Have a Yamaha dealer replace the fuel filter if necessary. <PIC> $\textcircled{4}$ Spark plug lead $\circledast$ Muffler $\circledcirc$ Fuel filter $\circleddash$ Fuel tank $\circledast$ Oil tank $\circled"
345,How to adjust the adjustable sponson of my jetski if needed?,2005 WaveRunner,2005 WaveRunner,True,0.450,0.600,0.800,1077,979,3,4,2,280,149,-131,False,False,Adjusting the Adjustable SponsonThe Adjustable Sponsons can be adjusted to enhance watercr | To adjust: 1. Remove the bolts $\textcircled{1}$ on both sponsons. <PIC> 2 | Adjustable Sponson The sponsons $\textcircled{1}$ have adjustable positioning to allow the | Up position $\circledast$ | NOTE: Be sure to install both sponsons to the same level. 3. Tighten the bolts on both spo | Quick Shift Trim System (QSTS) selector The QSTS selector $\textcircled{1}$ is located at,Adjusting the Adjustable SponsonThe Adjustable Sponsons can be adjusted to enhance watercr | Adjustable Sponson The sponsons $\textcircled{1}$ have adjustable positioning to allow the | To adjust: 1. Remove the bolts $\textcircled{1}$ on both sponsons. <PIC> 2. Remove both sp,# Adjusting the Adjustable SponsonThe Adjustable Sponsons can be adjusted to enhance watercraft performance according to operator preference and operating conditions. (See page 2-19 for an explanation of various positions.) # To adjust: 1. Remove the bolts $\textcircled{1}$ on both sponsons. <PIC> 2 # Adjustable Sponson The sponsons $\textcircled{1}$ have adjustable positioning to allow the operator to enhance either straight-line performance or turning performance according to the preference and operating conditions. (See page 4-23 for adjustment procedures.) <PIC> # Up position $\circledast$ # NOTE: Be sure to install both sponsons to the same level. 3. Tighten the bolts on both sponsons t,"# Adjusting the Adjustable SponsonThe Adjustable Sponsons can be adjusted to enhance watercraft performance according to operator preference and operating conditions. (See page 2-19 for an explanation of various positions.) # Adjustable Sponson The sponsons $\textcircled{1}$ have adjustable positioning to allow the operator to enhance either straight-line performance or turning performance according to the preference and operating conditions. (See page 4-23 for adjustment procedures.) <PIC> $\circledcirc$ Bow eye Use to attach rope for transporting, mooring or towing the watercraft in an emergency. $\textcircled{3}$ Front storage compartment $\textcircled{4}$ Hood $\circledast$ Jet intake $\"
